Name;type;ingredient;Item Quantity;Item Name;Serving Size Quantity;Serving Size Measure;Unit Measure;Unit Quantity;Volume Measure;Volume Quantity;Calories (kcal);Protein (g);Carbohydrate (Available) (g);Carbohydrates (g);Total Dietary Fiber (g);Dietary Fiber (2016) (g);Fat (g);Saturated Fat (g);Trans Fatty Acid (g);Cholesterol (mg);Sodium (mg);Calcium (mg);Copper (mg);Folate (mcg);Folate, DFE (mcg DFE);Folate, food (mcg);Iron (mg);Magnesium (mg);Manganese (mg);Omega 3 Fatty Acid (g);Omega 6 Fatty Acid (g);Phosphorus (mg);Potassium (mg);Selenium (mcg);Vitamin A - IU (IU);Vitamin A - RAE (mcg);Vitamin A - RE (mcg);Vitamin B1 - Thiamin (mg);Vitamin B12 (mcg);Vitamin B2 - Riboflavin (mg);Vitamin B3 - Niacin (mg);Vitamin B3 - Niacin Equiv (mg);Vitamin B6 (mg);Vitamin C (mg);Vitamin E - Alpha-Toco (mg);Vitamin E - Alpha-Toco Equiv (mg);Vitamin E - IU (IU);Vitamin E - mg (mg);Vitamin K (mcg);Zinc (mg)
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;onion powder;1;onion powder;4;Serving;;4;;;8,184;0,24984;1,53408;1,89888;0,3648;0,3648;0,02496;0,005256;0;0;1,752;9,216;0,01416;1,536;1,536;1,536;0,0936;2,712;0,0312;0,000359;0,007081;7,728;23,640001;0,3432;0;0;0;0,010968;0;0,00192;0,007704;0,031704;0,017232;0,5616;0,00648;0,00648;0,009655;0,00648;0,0984;0,0972
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;garlic powder;1/2;garlic powder;4;Serving;;4;;;5,1305;0,256525;0,987815;1,127315;0,1395;0,1395;0,011315;0,003859;0;0;0,93;1,2245;0,008261;0,7285;0,7285;0,7285;0,087575;1,1935;0,015174;0,000186;0,002216;6,417;18,491499;0,37045;0;0;0;0,006742;0;0,002185;0,012338;0,043596;0,025637;0,0186;0,010385;0,010385;0,015474;0,010385;0,0062;0,046345
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;chili peppers, powder;1;chili peppers, powder;4;Serving;;4;;;7,614;0,36342;0,4023;1,3419;0,9396;0,9396;0,38556;0,066474;0;0;77,409001;8,91;0,027;0,756;0,756;0,756;0,4671;4,023;0,0459;0,014391;0,201771;8,1;52,650001;0,5508;800,550014;40,027501;80,055001;0,00675;0;0,02538;0,3132;0,3447;0,056538;0,0189;1,02978;1,02978;1,534372;1,02978;2,8539;0,1161
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;paprika;1/4;paprika;4;Serving;;4;;;1,6215;0,081305;0,109767;0,310442;0,200675;0,200675;0,074117;0,012305;0;0;0,391;1,31675;0,0041;0,28175;0,28175;0,28175;0,121555;1,0235;0,009142;0,002604;0,04205;1,8055;13,11;0,036225;283,210494;14,160525;28,321049;0,001897;0;0,007072;0,057845;0,063965;0,012311;0,005175;0,167325;0,167325;0,249314;0,167325;0,461725;0,024897
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;oregano, dried, leaves;1/2;oregano, dried, leaves;4;Serving;;4;;;1,325;0,045;0,1321;0,3446;0,2125;0,2125;0,0214;0,007755;0;0;0,125;7,985;0,003165;1,185;1,185;1,185;0,184;1,35;0,02495;0,003105;0,00374;0,74;6,3;0,0225;8,505;0,42525;0,8505;0,000885;0;0,00264;0,0232;0,039338;0,00522;0,0115;0,0913;0,0913;0,136037;0,0913;3,1085;0,01345
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;black pepper, ground;1;black pepper, ground;4;Serving;;4;;;5,773;0,23897;0,88895;1,47085;0,5819;0,5819;0,07498;0,032016;0;0;0,46;10,189;0,03059;0,391;0,391;0,391;0,22333;3,933;0,293319;0,003496;0,015962;3,634;30,566999;0,1127;12,581;0,62905;1,2581;0,002484;0;0,00414;0,026289;0,048522;0,006693;0;0,02392;0,02392;0,035641;0,02392;3,7651;0,02737
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;salt, table;1;salt, table;4;Serving;;4;;;0;0;0;0;0;0;0;0;0;0;2325,48;1,44;0,0018;0;0;0;0,0198;0,06;0,006;0;0;0;0,48;0,006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,006
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;corn, cooked;1;corn, cooked;4;Serving;;4;;;149,6;3,791;20,451;23,681;3,23;3,23;6,341;1,6337;;3,4;355,3;5,1;0,0544;61,2;61,2;61,2;0,442;22,1;;0,1853;1,9635;76,5;219,3;1,02;;22,1;;0,0612;0;0,1479;1,6592;1,6592;0,0884;2,72;0,646;;;;4,08;0,527
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;rice, brown, cooked, medium grain;1;rice, brown, cooked, medium grain;4;Serving;;4;;;218,4;4,524;42,3345;45,8445;3,51;3,51;1,6185;0,32175;0;0;1,95;19,5;0,15795;7,8;7,8;7,8;1,0335;85,8;2,13915;0,02535;0,55185;150,15;154,05;;0;0;0;0,1989;0;0,0234;2,5935;3,5685;0,29055;0;;;;;;1,209
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;lettuce, romaine, fresh, shredded;1;lettuce, romaine, fresh, shredded;4;Serving;;4;;;7,99;0,5781;0,5593;1,5463;0,987;0,987;0,141;0,01833;0;0;3,76;15,51;0,02256;63,92;63,92;63,92;0,4559;6,58;0,07285;0,05311;0,02209;14,1;116,09;0,188;4093,7;204,685;409,37;0,03384;0;0,03149;0,14711;0,225445;0,03478;1,88;0,0611;0,0611;0,091039;0,0611;48,175;0,1081
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;salsa, pico de gallo;1;salsa, pico de gallo;4;Serving;;4;;;43,519956;1,817598;6,655993;9,47199;2,815997;2,815997;0,3584;0,05888;;0;1134,078852;28,159972;0,12032;30,719969;30,719969;30,719969;0,588799;23,039977;;0,00512;0,13824;48,639951;401,919593;0,256;;63,999935;;0,07168;0;0,0512;1,041919;1,041919;0,23296;27,647972;0,819199;;;;17,663982;0,3328
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;avocado, fresh, cubed;1;avocado, fresh, cubed;4;Serving;;4;;;240;3;2,745;12,795;10,05;10,05;21,99;3,189;0;0;10,5;18;0,285;121,5;121,5;121,5;0,825;43,5;0,213;0,1875;2,511;78;727,5;0,6;219;10,95;21,9;0,1005;0;0,195;2,607;3,232005;0,3855;15;3,105;3,105;4,62645;3,105;31,5;0,96
3 Bean Chlli;dinner;black beans, canned, low sodium;15;black beans, canned, low sodium;6;Serving;;6;;;386,97099;25,642144;41,035935;70,377691;29,341756;29,341756;1,233204;0,318932;0;0;586,835128;148,834996;0,816466;259,398136;259,398136;259,398136;8,079614;148,834996;0,990816;0,242388;0,289165;459,262274;1309,747967;5,528157;17,009714;0,850486;1,700971;0,59534;0;0,510291;2,636506;7,73942;0,233884;11,481557;2,636506;2,636506;3,928393;2,636506;9,780585;2,296311
3 Bean Chlli;dinner;kidney beans, canned;15;kidney beans, canned;6;Serving;;6;;;357,203991;22,197677;43,37477;61,660213;18,285442;18,285442;2,551457;0,457689;0;0;1258,718826;144,582568;0,574078;153,087425;153,087425;153,087425;4,975341;114,815569;0,714408;0,348699;0,450757;382,718562;1007,825546;3,827186;0;0;0;0,493282;0;0,216874;1,747748;6,212798;0,31468;5,102914;0,085049;0,085049;0,126722;0,085049;17,434957;1,956117
3 Bean Chlli;dinner;tomatoes, diced, canned;1 1/4;tomatoes, diced, canned;6;Serving;;6;;;50;2,5;5;7,5;2,5;2,5;0;0;0;0;325;50;;20;;;0,9;;;0;0;;475;87,5;1250;62,5;125;;;;;;;30;;;;;;
3 Bean Chlli;dinner;onion, white, fresh, chopped;1;onion, white, fresh, chopped;6;Serving;;6;;;64;1,76;12,224;14,944;2,72;2,72;0,16;0,0672;0;0;6,4;36,8;0,0624;30,4;30,4;30,4;0,336;16;0,2064;0,0064;0,0208;46,4;233,6;0,8;3,2;0,16;0,32;0,0736;0;0,0432;0,1856;0,558928;0,192;11,84;0,032;0,032;0,04768;0,032;0,64;0,272
3 Bean Chlli;dinner;bell pepper, red, fresh;1;bell pepper, red, fresh;6;Serving;;6;;;46,19;1,4751;5,9898;8,9847;2,9949;2,9949;0,447;0,04023;0;0;5,96;10,43;0,02533;68,54;68,54;68,54;0,6407;17,88;0,16688;0,03725;0,06705;38,74;314,39;0,149;4665,19;233,2595;466,519015;0,08046;0;0,12665;1,45871;1,75671;0,43359;190,273;2,3542;2,3542;3,507758;2,3542;7,301;0,3725
3 Bean Chlli;dinner;corn, sweet, yellow, fresh;1;corn, sweet, yellow, fresh;6;Serving;;6;;;124,7;4,7415;24,215;27,115;2,9;2,9;1,9575;0,47125;0;0;21,75;2,9;0,0783;60,9;60,9;60,9;0,754;53,65;0,23635;0,0203;0,68585;129,05;391,5;0,87;271,15;13,5575;27,115;0,22475;0;0,07975;2,5665;3,119965;0,13485;9,86;0,1015;0,1015;0,151235;0,1015;0,435;0,667
3 Bean Chlli;dinner;chili peppers, powder;2;chili peppers, powder;6;Serving;;6;;;45,684017;2,180521;2,413801;8,051403;5,637602;5,637602;2,313361;0,398844;0;0;464,454178;53,46002;0,162;4,536002;4,536002;4,536002;2,802601;24,138009;0,2754;0,086346;1,210626;48,600019;315,900121;3,304801;4803,301839;240,165092;480,330184;0,0405;0;0,15228;1,879201;2,068201;0,339228;0,1134;6,178682;6,178682;9,206237;6,178682;17,123407;0,6966
3 Bean Chlli;dinner;cumin seeds, ground;2;cumin seeds, ground;6;Serving;;6;;;14,24;0,608;0,128;1,28;1,152;1,152;0,7424;;0;;6,336;26,56;;;;;1,0944;;;;;;;;14,4;0,72;1,44;;0;;;;;0,064;;;;;;
3 Bean Chlli;dinner;garlic, minced;2;garlic, minced;6;Serving;;6;;;30;0;0;0;0;0;1;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 Bean Chlli;dinner;oregano, ground;2;oregano, ground;6;Serving;;6;;;9,54;0,324;0,95112;2,48112;1,53;1,53;0,15408;0,055836;0;0;0,9;57,491998;0,022788;8,532;8,532;8,532;1,3248;9,72;0,17964;0,022356;0,026928;5,328;45,359999;0,162;61,235998;3,0618;6,1236;0,006372;0;0,019008;0,16704;0,283237;0,037584;0,0828;0,65736;0,65736;0,979466;0,65736;22,3812;0,09684
3 Bean Chlli;dinner;tomato paste, canned, 6 oz, unsalted;1 1/4;tomato paste, canned, 6 oz, unsalted;6;Serving;;6;;;262,399734;13,823986;47,391952;60,511939;13,119987;13,119987;1,503998;0,32;0;0;188,799809;115,199883;1,167999;38,399961;38,399961;38,399961;9,53599;134,399864;0,966399;0,0224;0,4864;265,599731;3244,796717;16,959983;4879,995062;243,999753;487,999506;0,192;0;0,4896;9,84319;11,496532;0,691199;70,079929;13,759986;13,759986;20,502379;13,759986;36,479963;2,015998
3 Bean Chlli;dinner;water, tap;1 1/4;water, tap;6;Serving;;6;;;0;0;0;0;0;0;0;0;0;0;11,84;8,88;0,0296;0;0;0;0;2,96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0296
3 Bean Chlli;dinner;salt, table;1/2;salt, table;6;Serving;;6;;;0;0;0;0;0;0;0;0;0;0;1162,74;0,72;0,0009;0;0;0;0,0099;0,03;0,003;0;0;0;0,24;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003
